MSW93_Order,MSW93_Family,MSW93_Genus,MSW93_Species,MSW93_Binomial,AdultBodyMass_g,Mass (kg),PopulationDensity_n/km2,Biomass_density,Lat,Lon
Chiroptera,Phyllostomidae,Uroderma,bilobatum,Uroderma bilobatum,16.2,0.0162,,0,-3.16,-65.09
Chiroptera,Pteropodidae,Megaloglossus,woermanni,Megaloglossus woermanni,16.1,0.0161,,0,-1.12,10.62
Chiroptera,Phyllostomidae,Erophylla,sezekorni,Erophylla sezekorni,16,0.016,,0,22.26,-75.27
Chiroptera,Mormoopidae,Mormoops,megalophylla,Mormoops megalophylla,16,0.016,,0,13.01,-87.94
Insectivora,Soricidae,Crocidura,viaria,Crocidura viaria,15.8,0.0158,,0,16.06,12.03
Rodentia,Muridae,Scotinomys,xerampelinus,Scotinomys xerampelinus,15.1,0.0151,,0,9.41,-83.06
Insectivora,Soricidae,Neomys,fodiens,Neomys fodiens,14.8,0.0148,320,4.736,55.58,67.73
Rodentia,Muridae,Peromyscus,polionotus,Peromyscus polionotus,14.3,0.0143,889,12.7127,30.55,-84.25
Rodentia,Muridae,Pseudomys,hermannsburgensis,Pseudomys hermannsburgensis,14.3,0.0143,,0,-24.73,129.59
Diprotodontia,Burramyidae,Cercartetus,concinnus,Cercartetus concinnus,14.1,0.0141,,0,-33.82,128.64
Chiroptera,Vespertilionidae,Chalinolobus,gouldii,Chalinolobus gouldii,14.1,0.0141,,0,-27.37,140.61
Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Acrobates pygmaeus,13.9,0.0139,900,12.51,-24.91,145.86
Chiroptera,Molossidae,Molossus,molossus,Molossus molossus,13.8,0.0138,,0,-5.16,-71.68
Insectivora,Soricidae,Crocidura,luna,Crocidura luna,13.5,0.0135,,0,-8.38,30.71
Rodentia,Heteromyidae,Microdipodops,pallidus,Microdipodops pallidus,13.4,0.0134,,0,38.57,-117.47
Chiroptera,Phyllostomidae,Glossophaga,longirostris,Glossophaga longirostris,13.2,0.0132,,0,7.43,-67.14
Chiroptera,Molossidae,Nyctinomops,laticaudatus,Nyctinomops laticaudatus,13,0.013,,0,-3.34,-67.68
Insectivora,Soricidae,Neomys,anomalus,Neomys anomalus,12.6,0.0126,,0,45.32,16.18
Chiroptera,Vespertilionidae,Lasiurus,borealis,Lasiurus borealis,12.3,0.0123,,0,8.3,-86.56
Rodentia,Heteromyidae,Microdipodops,megacephalus,Microdipodops megacephalus,12.3,0.0123,,0,40.82,-116.76
Dasyuromorphia,Dasyuridae,Planigale,maculata,Planigale maculata,12.3,0.0123,,0,-21.9,134.12
Chiroptera,Molossidae,Tadarida,brasiliensis,Tadarida brasiliensis,12.2,0.0122,,0,1.23,-81.11
Chiroptera,Phyllostomidae,Macrotus,californicus,Macrotus californicus,11.8,0.0118,,0,29.76,-112.13
Rodentia,Muridae,Scotinomys,teguina,Scotinomys teguina,11.6,0.0116,,0,12.73,-88.67
Chiroptera,Vespertilionidae,Histiotus,velatus,Histiotus velatus,11.3,0.0113,,0,-21.31,-49.19
Chiroptera,Phyllostomidae,Anoura,caudifera,Anoura caudifera,10.7,0.0107,,0,-8.12,-58.68
Rodentia,Muridae,Reithrodontomys,megalotis,Reithrodontomys megalotis,10.7,0.0107,1170,12.519,33.28,-105.73
Insectivora,Soricidae,Crocidura,leucodon,Crocidura leucodon,10.6,0.0106,,0,42.54,27.28
Chiroptera,Vespertilionidae,Nyctophilus,gouldi,Nyctophilus gouldi,10.2,0.0102,,0,-23.44,134.3
Chiroptera,Rhinolophidae,Hipposideros,galeritus,Hipposideros galeritus,10.1,0.0101,,0,8.43,98.41
Insectivora,Soricidae,Crocidura,hildegardeae,Crocidura hildegardeae,9.96,0.00996,352,3.50592,1.62,20.04
Chiroptera,Phyllostomidae,Glossophaga,soricina,Glossophaga soricina,9.9,0.0099,,0,-2.61,-72.76
Chiroptera,Vespertilionidae,Lasiurus,seminolus,Lasiurus seminolus,9.87,0.00987,,0,34.34,-81.83
Chiroptera,Vespertilionidae,Myotis,velifer,Myotis velifer,9.78,0.00978,,0,27.11,-100.43
Diprotodontia,Tarsipedidae,Tarsipes,rostratus,Tarsipes rostratus,9.74,0.00974,29700,289.278,-31.3,119.82
Chiroptera,Phyllostomidae,Rhinophylla,fischerae,Rhinophylla fischerae,9.59,0.00959,,0,-4.69,-62.29
Chiroptera,Phyllostomidae,Rhinophylla,pumilio,Rhinophylla pumilio,9.54,0.00954,,0,-4.6,-57.03
Chiroptera,Mormoopidae,Pteronotus,davyi,Pteronotus davyi,9.48,0.00948,,0,10.77,-86.23
Insectivora,Soricidae,Crocidura,russula,Crocidura russula,9.46,0.00946,8850,83.721,42.1,9.63
Dasyuromorphia,Dasyuridae,Planigale,gilesi,Planigale gilesi,9.44,0.00944,740,6.9856,-29.48,141.82
Dasyuromorphia,Dasyuridae,Ningaui,yvonnae,Ningaui yvonnae,9.4,0.0094,,0,-31.98,132.89
Chiroptera,Vespertilionidae,Nycticeius,humeralis,Nycticeius humeralis,9.11,0.00911,,0,31.3,-87.74
Insectivora,Soricidae,Sorex,coronatus,Sorex coronatus,9.06,0.00906,1320,11.9592,47.24,2.9
Rodentia,Dipodidae,Sicista,betulina,Sicista betulina,8.93,0.00893,,0,56.24,58.87
Insectivora,Soricidae,Sorex,araneus,Sorex araneus,8.83,0.00883,1840,16.2472,53.76,52.49
Chiroptera,Phyllostomidae,Monophyllus,redmani,Monophyllus redmani,8.78,0.00878,,0,20.39,-75.27
Chiroptera,Mormoopidae,Mormoops,blainvillii,Mormoops blainvillii,8.68,0.00868,,0,20.39,-75.27
Insectivora,Soricidae,Crocidura,crossei,Crocidura crossei,8.65,0.00865,,0,6.61,-1.67
Chiroptera,Phyllostomidae,Vampyressa,pusilla,Vampyressa pusilla,8.6,0.0086,,0,-7.26,-67.88
Diprotodontia,Burramyidae,Cercartetus,lepidus,Cercartetus lepidus,8.1,0.0081,,0,-38.97,142.44
Rodentia,Heteromyidae,Perognathus,longimembris,Perognathus longimembris,8.08,0.00808,174,1.40592,35.77,-116.17
Chiroptera,Emballonuridae,Saccopteryx,bilineata,Saccopteryx bilineata,8.08,0.00808,,0,0.5,-70.24
Rodentia,Heteromyidae,Perognathus,flavus,Perognathus flavus,7.98,0.00798,150,1.197,31.11,-105.38
Chiroptera,Mormoopidae,Pteronotus,personatus,Pteronotus personatus,7.94,0.00794,,0,5.64,-72.6
Chiroptera,Phyllostomidae,Choeroniscus,godmani,Choeroniscus godmani,7.84,0.00784,,0,12.98,-79.92
Insectivora,Soricidae,Sorex,alpinus,Sorex alpinus,7.78,0.00778,,0,46.5,16.01
Chiroptera,Vespertilionidae,Myotis,lucifugus,Myotis lucifugus,7.77,0.00777,,0,42.9,-108.92
Rodentia,Muridae,Baiomys,taylori,Baiomys taylori,7.44,0.00744,2470,18.3768,26.19,-102.47
Chiroptera,Vespertilionidae,Nyctophilus,geoffroyi,Nyctophilus geoffroyi,7.27,0.00727,,0,-27.37,133.39
Rodentia,Muridae,Micromys,minutus,Micromys minutus,7,0.007,,0,43.32,68.17
Insectivora,Tenrecidae,Geogale,aurita,Geogale aurita,6.8,0.0068,,0,-22.55,45.06
Rodentia,Muridae,Mus,minutoides,Mus minutoides,6.44,0.00644,92.6,0.596344,-24.47,26.99
Dasyuromorphia,Dasyuridae,Planigale,ingrami,Planigale ingrami,6.44,0.00644,,0,-18.58,133.58
Chiroptera,Natalidae,Natalus,tumidirostris,Natalus tumidirostris,6.25,0.00625,,0,6.82,-64.28
Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,5.6,0.0056,,0,-1.83,-65.9
Chiroptera,Mormoopidae,Pteronotus,quadridens,Pteronotus quadridens,5.6,0.0056,,0,20.39,-75.27
Chiroptera,Vespertilionidae,Myotis,yumanensis,Myotis yumanensis,5.15,0.00515,,0,37.19,-114.95
Insectivora,Soricidae,Sorex,ornatus,Sorex ornatus,5.1,0.0051,11100,56.61,31.46,-116.48
Chiroptera,Emballonuridae,Saccopteryx,leptura,Saccopteryx leptura,4.89,0.00489,,0,-1.79,-64.31
Insectivora,Soricidae,Notiosorex,crawfordi,Notiosorex crawfordi,4.87,0.00487,2400,11.688,28.67,-107.26
Insectivora,Soricidae,Cryptotis,parva,Cryptotis parva,4.85,0.00485,494,2.3959,26.87,-88.9
Chiroptera,Vespertilionidae,Myotis,nigricans,Myotis nigricans,4.24,0.00424,,0,-2.93,-67.62
Insectivora,Soricidae,Sorex,cinereus,Sorex cinereus,4.14,0.00414,1110,4.5954,51.94,-111.87
Insectivora,Soricidae,Sorex,minutus,Sorex minutus,4.14,0.00414,850,3.519,49.56,52.25
